,8bit_input_data,8bit_output_data
0,0000000,"10000001
"
1,0000000,"10000010
"
2,0000000,"10000011
"
3,0000000,"10000100
"
4,0000000,"10000101
"
5,0000000,"10000110
"
6,0000000,"10000111
"
7,0000000,"10001000
"
8,0000000,"10001001
"
9,0000000,"10001010
"
10,0000000,"10001011
"
11,0000000,"10001100
"
12,0000000,"10001101
"
13,0000000,"10001110
"
14,0000000,"10001111
"
15,0000000,"10010000
"
16,0000000,"10010001
"
17,0000000,"10010010
"
18,0000000,"10010011
"
19,0000000,"10010100
"
20,0000000,"10010101
"
21,0000000,"10010110
"
22,0000000,"10010111
"
23,0000000,"10011000
"
24,0000000,"10011001
"
25,0000000,"10011010
"
26,0000000,"10011011
"
27,0000000,"10011100
"
28,0000000,"10011101
"
29,0000000,"10011110
"
30,0000000,"10011111
"
31,0000000,"10100000
"
32,0000000,"10100001
"
33,0000000,"10100010
"
34,0000000,"10100011
"
35,0000000,"10100100
"
36,0000000,"10100101
"
37,0000000,"10100110
"
38,0000000,"10100111
"
39,0000000,"10101000
"
40,0000000,"10101001
"
41,0000000,"10101010
"
42,0000000,"10101011
"
43,0000000,"10101100
"
44,0000000,"10101101
"
45,0000000,"10101110
"
46,0000000,"10101111
"
47,0000000,"10110000
"
48,0000000,"10110001
"
49,0000000,"10110010
"
50,0000000,"10110011
"
51,0000000,"10110100
"
52,0000000,"10110101
"
53,0000000,"10110110
"
54,0000000,"10110111
"
55,0000000,"10111000
"
56,0000000,"10111001
"
57,0000000,"10111010
"
58,0000000,"10111011
"
59,0000000,"10111100
"
60,0000000,"10111101
"
61,0000000,"10111110
"
62,0000000,"10111111
"
63,0000000,"11000000
"
64,0000000,"11000001
"
65,0000000,"11000010
"
66,0000000,"11000011
"
67,0000000,"11000100
"
68,0000000,"11000101
"
69,0000000,"11000110
"
70,0000000,"11000111
"
71,0000000,"11001000
"
72,0000000,"11001001
"
73,0000000,"11001010
"
74,0000000,"11001011
"
75,0000000,"11001100
"
76,0000000,"11001101
"
77,0000001,"11001110
"
78,0000001,"11001111
"
79,0000001,"11010000
"
80,0000001,"11010001
"
81,0000001,"11010010
"
82,0000001,"11010011
"
83,0000001,"11010100
"
84,0000001,"11010101
"
85,0000010,"11010110
"
86,0000010,"11010111
"
87,0000010,"11011000
"
88,0000010,"11011001
"
89,0000011,"11011010
"
90,0000011,"11011011
"
91,0000011,"11011100
"
92,0000011,"11011101
"
93,0000100,"11011110
"
94,0000100,"11011111
"
95,0000100,"11100000
"
96,0000100,"11100001
"
97,0000101,"11100010
"
98,0000101,"11100011
"
99,0000101,"11100100
"
100,0000101,"11100101
"
101,0000110,"11100110
"
102,0000110,"11100111
"
103,0000110,"11101000
"
104,0000110,"11101001
"
105,0000111,"11101010
"
106,0000111,"11101011
"
107,0000111,"11101100
"
108,0000111,"11101101
"
109,0001001,"11101110
"
110,0001001,"11101111
"
111,0001001,"11110000
"
112,0001001,"11110001
"
113,0001010,"11110010
"
114,0001010,"11110011
"
115,0001010,"11110100
"
116,0001010,"11110101
"
117,0001100,"11110110
"
118,0001100,"11110111
"
119,0001100,"11111000
"
120,0001100,"11111001
"
121,0001110,"11111010
"
122,0001110,"11111011
"
123,0001110,"11111100
"
124,0001110,"11111101
"
125,0010000,"11111110
"
126,0010000,"11111111
"
127,0010000,"00000000
"
128,0010000,"00000001
"
129,0010000,"00000010
"
130,0010000,"00000011
"
131,0010000,"00000100
"
132,0010010,"00000101
"
133,0010010,"00000110
"
134,0010010,"00000111
"
135,0010010,"00001000
"
136,0010011,"00001001
"
137,0010011,"00001010
"
138,0010011,"00001011
"
139,0010011,"00001100
"
140,0010101,"00001101
"
141,0010101,"00001110
"
142,0010101,"00001111
"
143,0010101,"00010000
"
144,0010111,"00010001
"
145,0010111,"00010010
"
146,0010111,"00010011
"
147,0010111,"00010100
"
148,0011000,"00010101
"
149,0011000,"00010110
"
150,0011000,"00010111
"
151,0011000,"00011000
"
152,0011001,"00011001
"
153,0011001,"00011010
"
154,0011001,"00011011
"
155,0011001,"00011100
"
156,0011011,"00011101
"
157,0011011,"00011110
"
158,0011011,"00011111
"
159,0011011,"00100000
"
160,0011100,"00100001
"
161,0011100,"00100010
"
162,0011100,"00100011
"
163,0011100,"00100100
"
164,0011101,"00100101
"
165,0011101,"00100110
"
166,0011101,"00100111
"
167,0011101,"00101000
"
168,0011101,"00101001
"
169,0011101,"00101010
"
170,0011101,"00101011
"
171,0011101,"00101100
"
172,0011110,"00101101
"
173,0011110,"00101110
"
174,0011110,"00101111
"
175,0011110,"00110000
"
176,0011111,"00110001
"
177,0011111,"00110010
"
178,0011111,"00110011
"
179,0011111,"00110100
"
180,0011111,"00110101
"
181,0011111,"00110110
"
182,0011111,"00110111
"
183,0011111,"00111000
"
184,0011111,"00111001
"
185,0011111,"00111010
"
186,0011111,"00111011
"
187,0011111,"00111100
"
188,0100000,"00111101
"
189,0100000,"00111110
"
190,0100000,"00111111
"
191,0100000,"01000000
"
192,0100000,"01000001
"
193,0100000,"01000010
"
194,0100000,"01000011
"
195,0100000,"01000100
"
196,0100000,"01000101
"
197,0100000,"01000110
"
198,0100000,"01000111
"
199,0100000,"01001000
"
200,0100000,"01001001
"
201,0100000,"01001010
"
202,0100000,"01001011
"
203,0100000,"01001100
"
204,0100000,"01001101
"
205,0100000,"01001110
"
206,0100000,"01001111
"
207,0100000,"01010000
"
208,0100000,"01010001
"
209,0100000,"01010010
"
210,0100000,"01010011
"
211,0100000,"01010100
"
212,0100000,"01010101
"
213,0100000,"01010110
"
214,0100000,"01010111
"
215,0100000,"01011000
"
216,0100000,"01011001
"
217,0100000,"01011010
"
218,0100000,"01011011
"
219,0100000,"01011100
"
220,0100000,"01011101
"
221,0100000,"01011110
"
222,0100000,"01011111
"
223,0100000,"01100000
"
224,0100000,"01100001
"
225,0100000,"01100010
"
226,0100000,"01100011
"
227,0100000,"01100100
"
228,0100000,"01100101
"
229,0100000,"01100110
"
230,0100000,"01100111
"
231,0100000,"01101000
"
232,0100000,"01101001
"
233,0100000,"01101010
"
234,0100000,"01101011
"
235,0100000,"01101100
"
236,0100000,"01101101
"
237,0100000,"01101110
"
238,0100000,"01101111
"
239,0100000,"01110000
"
240,0100000,"01110001
"
241,0100000,"01110010
"
242,0100000,"01110011
"
243,0100000,"01110100
"
244,0100000,"01110101
"
245,0100000,"01110110
"
246,0100000,"01110111
"
247,0100000,"01111000
"
248,0100000,"01111001
"
249,0100000,"01111010
"
250,0100000,"01111011
"
251,0100000,"01111100
"
252,0100000,"01111101
"
253,0100000,"01111110
"
254,0100000,"01111111
"
